,County,Democratic,Republican,political
0,Alameda,573201.0,105931.0,0
3,Alpine,390.0,219.0,0
6,Amador,7241.0,12114.0,1
9,Butte,44399.0,44754.0,1
12,Calaveras,8628.0,14799.0,1
15,Colusa,3177.0,4055.0,1
18,Contra Costa,372741.0,133348.0,0
21,Del Norte,4399.0,5828.0,1
24,El Dorado,42197.0,55908.0,1
27,Fresno,198510.0,163055.0,0
30,Glenn,4078.0,6449.0,1
33,Humboldt,39842.0,20357.0,0
36,Imperial,40898.0,17492.0,0
39,Inyo,3776.0,4403.0,1
42,Kern,149817.0,161088.0,1
45,Kings,20333.0,24101.0,1
48,Lake,14624.0,11460.0,0
51,Lassen,2780.0,8611.0,1
54,Los Angeles,3043535.0,995112.0,0
57,Madera,22775.0,27268.0,1
60,Marin,106207.0,22776.0,0
63,Mariposa,3410.0,5516.0,1
66,Mendocino,26648.0,11387.0,0
69,Merced,51854.0,34496.0,0
72,Modoc,1093.0,2887.0,1
75,Mono,3099.0,2371.0,0
78,Monterey,108916.0,42018.0,0
81,Napa,42022.0,18302.0,0
84,Nevada,29590.0,24458.0,0
87,Orange,657824.0,608946.0,0
90,Placer,84334.0,112727.0,1
93,Plumas,3993.0,6188.0,1
96,Riverside,505690.0,411382.0,0
99,Sacramento,391730.0,221686.0,0
102,San Benito,17273.0,9504.0,0
105,San Bernardino,460937.0,334397.0,0
108,San Diego,790045.0,536915.0,0
111,San Francisco,320755.0,34622.0,0
114,San Joaquin,162928.0,107258.0,0
117,San Luis Obispo,69270.0,63894.0,0
120,San Mateo,243253.0,63242.0,0
123,Santa Barbara,110773.0,59969.0,0
126,Santa Clara,503832.0,170252.0,0
129,Santa Cruz,100539.0,23736.0,0
132,Shasta,25912.0,55858.0,1
135,Sierra,646.0,979.0,1
138,Siskiyou,8930.0,12076.0,1
141,Solano,126175.0,58442.0,0
144,Sonoma,170148.0,53925.0,0
147,Stanislaus,108839.0,99505.0,0
150,Sutter,16123.0,21397.0,1
153,Tehama,9052.0,17731.0,1
156,Trinity,2573.0,2800.0,1
159,Tulare,67325.0,77175.0,1
162,Tuolumne,10388.0,15711.0,1
165,Ventura,216239.0,146210.0,0
168,Yolo,61107.0,24213.0,0
171,Yuba,11331.0,16074.0,1
174,State Total,10228144.0,5347377.0,0
